feature,lasso_coef,lasso_std_coef
AT,-1.9121471792613511,-0.8319232959561148
V,-0.25999044101374413,-0.19283870777788897
RH,-0.1308365541787166,-0.11368210343692516
AP,0.05121307473754413,0.01784586950843535
