feature,ridge_coef,ridge_std_coef
AT,-1.9668271307914262,-0.8557130575356564
V,-0.24181068686240564,-0.17935451857233853
RH,-0.14594368407457642,-0.1268084832490249
AP,0.0645303391179948,0.022486445446529345
