feature,coef,standardized_coef
AT,-1.9668710765688389,-0.8557321771496615
V,-0.24179386389712323,-0.1793420407332557
RH,-0.1459508024613612,-0.12681466831854046
AP,0.06451931715269907,0.022482604697747863
