feature,coef_value_(scaled_space)=standardized,coef_value_(original_units)
AT,-0.8557321771496632,-1.9668710765688426
V,-0.17934204073325594,-0.2417938638971236
RH,-0.12681466831853988,-0.14595080246136052
AP,0.022482604697748064,0.06451931715269964
